source_id,split,text,emoji,label,intent_label,dissonance_label
train:0:0,train,"so without further ado, to welcome our newest part-time employee, emma dubanowski.",👋,Low,Introduce,Low
train:0:3,train,"oh, i keep a copy of all the photos employees get developed here.",📢,Low,Inform,Low
train:0:4,train,"you don't have any of my photos, because i don't pose for them.",📖,Low,Explain,Low
train:0:5,train,"anyway, over the years, we've watched amy's daughter emma grow.",📝,Low,Inform,Low
train:0:7,train,"oh, also, starting today is kelly watson.",📢,Low,Inform,Low
train:0:8,train,"hi, everyone.",👋,Low,Greet,Low
train:1:0,train,"oh, excuse me.",👋,Low,Greet,Low
train:1:1,train,"um, i don't know his name, and an amazing butt?",🚨,Low,Ask for help,Low
train:1:2,train,"okay. well, thank you.",🙏,Low,Thank,Low
train:1:4,train,"oh, i just like flirting with him.",💬,Low,Explain,Low
train:1:5,train,"i mean, just because you're not gonna buy doesn't mean you can't check out the merchandise, right?",🤝,Low,Confirm,Low
train:1:6,train,ew. so are you just gonna stand there till he comes out?,🤝,Low,Confirm,Low
train:1:7,train,this whole job is standing places.,👋,Low,Introduce,Low
train:1:8,train,okay.,✅,Low,Agree,Low
train:3:0,train,"dina, i'm with a customer right now.",ℹ️,Low,Inform,Low
train:3:1,train,oh. i'm sorry.,🥺,Low,Apologise,Low
train:3:2,train,"step back, please. can i just put this-step back.",⏰,Low,Arrange,Low
train:3:3,train,"i have been experiencing some anxiety recently, and...",😤,High,Complain,High
train:3:5,train,"okay. well, um, maybe we just take a little break.",🧠,Low,Advise,Low
train:3:6,train,oh.,🤝,Low,Acknowledge,Low
train:3:7,train,"yeah, that would probably be good.",✅,Low,Agree,Low
train:3:9,train,we can't take that back if it's broken.,🚨,Medium,Warn,Medium
train:5:0,train,"okay. so flip, flip, voilà. got it?",✅,Low,Confirm,Low
train:5:1,train,relax. it's just dad.,💬,Low,Explain,Low
train:5:3,train,"uh, inside joke. you wouldn't get it.",🤡,High,Taunt,High
train:5:4,train,it was just something that happened at six flags.,💬,Low,Explain,Low
train:5:8,train,"um, is--is this right?",👌,Low,Confirm,Low
train:5:10,train,oh.,👌,Low,Acknowledge,Low
train:6:0,train,"no, i mean, obviously, i want her to love her dad, and all of a sudden, they're like besties.",💬,Low,Explain,Low
train:6:1,train,i thought latinos don't care if their kids like them.,🙄,High,Taunt,High
train:6:2,train,i really think you're painting with too broad a cultural brush here.,😏,High,Taunt,High
train:6:4,train,you're an intense mom.,🙄,High,Taunt,High
train:6:5,train,i do not want to be around when emma starts dating.,🙄,High,Taunt,High
train:6:6,train,why would you even mention that?,😑,High,Criticize,High
train:7:0,train,hey.,👋,Low,Greet,Low
train:7:1,train,hey...garrett.,✨,Low,Greet,Low
train:7:2,train,"how's it going, big guy?",🛡️,Low,Care,Low
train:7:4,train,you could join us if you want.,📩,Low,Invite,Low
train:7:5,train,"well, you know, 'cause of what happened.",📖,Low,Explain,Low
train:7:7,train,you are going to find someone so great.,🫐,Low,Comfort,Low
