text,emoji,label,injection_type
"so without further ado, to welcome our newest part-time employee, emma dubanowski.",,Introduce,Plain
"so without further ado, to welcome our newest part-time employee, emma dubanowski.",🎉,Introduce,Consonant
"so without further ado, to welcome our newest part-time employee, emma dubanowski.",😏,Introduce,Dissonant
"so without further ado, to welcome our newest part-time employee, emma dubanowski.",👋,Introduce,Social
"oh, i keep a copy of all the photos employees get developed here.",,Inform,Plain
"oh, i keep a copy of all the photos employees get developed here.",🤐,Inform,Consonant
"oh, i keep a copy of all the photos employees get developed here.",🦄,Inform,Dissonant
"oh, i keep a copy of all the photos employees get developed here.",📰,Inform,Social
"you don't have any of my photos, because i don't pose for them.",,Explain,Plain
"you don't have any of my photos, because i don't pose for them.",🥺,Explain,Consonant
"you don't have any of my photos, because i don't pose for them.",🍵,Explain,Dissonant
"anyway, over the years, we've watched amy's daughter emma grow.",,Inform,Plain
"anyway, over the years, we've watched amy's daughter emma grow.",🤩,Inform,Consonant
"anyway, over the years, we've watched amy's daughter emma grow.",😒,Inform,Dissonant
"anyway, over the years, we've watched amy's daughter emma grow.",🤔,Inform,Social
"oh, also, starting today is kelly watson.",,Inform,Plain
"oh, also, starting today is kelly watson.",💖,Inform,Consonant
"oh, also, starting today is kelly watson.",🧐,Inform,Dissonant
"oh, also, starting today is kelly watson.",📰,Inform,Social
"hi, everyone.",,Greet,Plain
"hi, everyone.",😂,Greet,Consonant
"hi, everyone.",🤐,Greet,Dissonant
"oh, excuse me.",,Greet,Plain
"oh, excuse me.",🤐,Greet,Consonant
"oh, excuse me.",👋,Greet,Dissonant
"um, i don't know his name, and an amazing butt?",,Ask for help,Plain
"um, i don't know his name, and an amazing butt?",🤐,Ask for help,Consonant
"um, i don't know his name, and an amazing butt?",🍵,Ask for help,Dissonant
"um, i don't know his name, and an amazing butt?",🔋,Ask for help,Social
"okay. well, thank you.",,Thank,Plain
"okay. well, thank you.",✨,Thank,Consonant
"okay. well, thank you.",😬,Thank,Dissonant
"oh, i just like flirting with him.",,Explain,Plain
"oh, i just like flirting with him.",🤩,Explain,Consonant
"oh, i just like flirting with him.",😒,Explain,Dissonant
"i mean, just because you're not gonna buy doesn't mean you can't check out the merchandise, right?",,Confirm,Plain
"i mean, just because you're not gonna buy doesn't mean you can't check out the merchandise, right?",😣,Confirm,Consonant
"i mean, just because you're not gonna buy doesn't mean you can't check out the merchandise, right?",👋,Confirm,Dissonant
"i mean, just because you're not gonna buy doesn't mean you can't check out the merchandise, right?",👍,Confirm,Social
ew. so are you just gonna stand there till he comes out?,,Confirm,Plain
ew. so are you just gonna stand there till he comes out?,🤐,Confirm,Consonant
ew. so are you just gonna stand there till he comes out?,🦄,Confirm,Dissonant
ew. so are you just gonna stand there till he comes out?,☑️,Confirm,Social
this whole job is standing places.,,Introduce,Plain
this whole job is standing places.,😊,Introduce,Consonant
this whole job is standing places.,😶,Introduce,Dissonant
this whole job is standing places.,🆕,Introduce,Social
okay.,,Agree,Plain
okay.,💯,Agree,Consonant
okay.,😶,Agree,Dissonant
"dina, i'm with a customer right now.",,Inform,Plain
"dina, i'm with a customer right now.",💪,Inform,Consonant
"dina, i'm with a customer right now.",😒,Inform,Dissonant
"dina, i'm with a customer right now.",ℹ️,Inform,Social
oh. i'm sorry.,,Apologise,Plain
oh. i'm sorry.,😫,Apologise,Consonant
oh. i'm sorry.,🦄,Apologise,Dissonant
oh. i'm sorry.,💔,Apologise,Social
"step back, please. can i just put this-step back.",,Arrange,Plain
"step back, please. can i just put this-step back.",🤢,Arrange,Consonant
"step back, please. can i just put this-step back.",🍵,Arrange,Dissonant
"i have been experiencing some anxiety recently, and...",,Complain,Plain
"i have been experiencing some anxiety recently, and...",😢,Complain,Consonant
"i have been experiencing some anxiety recently, and...",🤷,Complain,Dissonant
"okay. well, um, maybe we just take a little break.",,Advise,Plain
"okay. well, um, maybe we just take a little break.",😭,Advise,Consonant
"okay. well, um, maybe we just take a little break.",🐒,Advise,Dissonant
"okay. well, um, maybe we just take a little break.",🗒️,Advise,Social
oh.,,Acknowledge,Plain
oh.,🌈,Acknowledge,Consonant
oh.,🌚,Acknowledge,Dissonant
"yeah, that would probably be good.",,Agree,Plain
"yeah, that would probably be good.",🙌,Agree,Consonant
"yeah, that would probably be good.",🙄,Agree,Dissonant
we can't take that back if it's broken.,,Warn,Plain
we can't take that back if it's broken.,😢,Warn,Consonant
we can't take that back if it's broken.,🤷,Warn,Dissonant
we can't take that back if it's broken.,🤫,Warn,Social
"okay. so flip, flip, voilà. got it?",,Confirm,Plain
"okay. so flip, flip, voilà. got it?",🥂,Confirm,Consonant
"okay. so flip, flip, voilà. got it?",🧐,Confirm,Dissonant
"okay. so flip, flip, voilà. got it?",🤛,Confirm,Social
relax. it's just dad.,,Explain,Plain
relax. it's just dad.,😎,Explain,Consonant
relax. it's just dad.,🙃,Explain,Dissonant
"uh, inside joke. you wouldn't get it.",,Taunt,Plain
"uh, inside joke. you wouldn't get it.",🤢,Taunt,Consonant
"uh, inside joke. you wouldn't get it.",🤷,Taunt,Dissonant
"uh, inside joke. you wouldn't get it.",🗑️,Taunt,Social
it was just something that happened at six flags.,,Explain,Plain
it was just something that happened at six flags.,😢,Explain,Consonant
it was just something that happened at six flags.,💫,Explain,Dissonant
"um, is--is this right?",,Confirm,Plain
"um, is--is this right?",🎉,Confirm,Consonant
"um, is--is this right?",🤐,Confirm,Dissonant
"um, is--is this right?",🤝,Confirm,Social
oh.,,Acknowledge,Plain
oh.,🎈,Acknowledge,Consonant
oh.,🤐,Acknowledge,Dissonant
"no, i mean, obviously, i want her to love her dad, and all of a sudden, they're like besties.",,Explain,Plain
"no, i mean, obviously, i want her to love her dad, and all of a sudden, they're like besties.",😎,Explain,Consonant
"no, i mean, obviously, i want her to love her dad, and all of a sudden, they're like besties.",😏,Explain,Dissonant
i thought latinos don't care if their kids like them.,,Taunt,Plain
i thought latinos don't care if their kids like them.,😭,Taunt,Consonant
i thought latinos don't care if their kids like them.,💅,Taunt,Dissonant
i thought latinos don't care if their kids like them.,🍼,Taunt,Social
i really think you're painting with too broad a cultural brush here.,,Taunt,Plain
i really think you're painting with too broad a cultural brush here.,😡,Taunt,Consonant
i really think you're painting with too broad a cultural brush here.,🐒,Taunt,Dissonant
i really think you're painting with too broad a cultural brush here.,🤥,Taunt,Social
you're an intense mom.,,Taunt,Plain
you're an intense mom.,💯,Taunt,Consonant
you're an intense mom.,🤐,Taunt,Dissonant
you're an intense mom.,🤥,Taunt,Social
i do not want to be around when emma starts dating.,,Taunt,Plain
i do not want to be around when emma starts dating.,🤬,Taunt,Consonant
i do not want to be around when emma starts dating.,🤠,Taunt,Dissonant
i do not want to be around when emma starts dating.,🧂,Taunt,Social
why would you even mention that?,,Criticize,Plain
why would you even mention that?,😠,Criticize,Consonant
why would you even mention that?,💅,Criticize,Dissonant
why would you even mention that?,😐,Criticize,Social
hey.,,Greet,Plain
hey.,🥂,Greet,Consonant
hey.,😐,Greet,Dissonant
hey...garrett.,,Greet,Plain
hey...garrett.,🎉,Greet,Consonant
hey...garrett.,🙄,Greet,Dissonant
"how's it going, big guy?",,Care,Plain
"how's it going, big guy?",🤢,Care,Consonant
"how's it going, big guy?",👋,Care,Dissonant
"how's it going, big guy?",🩹,Care,Social
you could join us if you want.,,Invite,Plain
you could join us if you want.,🥂,Invite,Consonant
you could join us if you want.,😬,Invite,Dissonant
"well, you know, 'cause of what happened.",,Explain,Plain
"well, you know, 'cause of what happened.",😫,Explain,Consonant
"well, you know, 'cause of what happened.",🍵,Explain,Dissonant
you are going to find someone so great.,,Comfort,Plain
you are going to find someone so great.,🎈,Comfort,Consonant
you are going to find someone so great.,🎭,Comfort,Dissonant
you are going to find someone so great.,❤️‍🩹,Comfort,Social
i like the enthusiasm!,,Praise,Plain
i like the enthusiasm!,🥰,Praise,Consonant
i like the enthusiasm!,🤥,Praise,Dissonant
i like the enthusiasm!,💯,Praise,Social
so how's school? what's going on?,,Care,Plain
so how's school? what's going on?,😢,Care,Consonant
so how's school? what's going on?,🤠,Care,Dissonant
so how's school? what's going on?,💝,Care,Social
hot goss?,,Confirm,Plain
hot goss?,😭,Confirm,Consonant
hot goss?,🙂,Confirm,Dissonant
hot goss?,🤙,Confirm,Social
"you know what i mean. come on, spill it, girl.",,Advise,Plain
"you know what i mean. come on, spill it, girl.",😭,Advise,Consonant
"you know what i mean. come on, spill it, girl.",🤠,Advise,Dissonant
"you know what i mean. come on, spill it, girl.",☝️,Advise,Social
excuse me. you were gonna check to see if you had any floor cleaner in the back?,,Confirm,Plain
excuse me. you were gonna check to see if you had any floor cleaner in the back?,😩,Confirm,Consonant
excuse me. you were gonna check to see if you had any floor cleaner in the back?,🦄,Confirm,Dissonant
excuse me. you were gonna check to see if you had any floor cleaner in the back?,🆗,Confirm,Social
"listen, if you don't feel like doing something, don't waste my time.",,Warn,Plain
"listen, if you don't feel like doing something, don't waste my time.",💔,Warn,Consonant
"listen, if you don't feel like doing something, don't waste my time.",😊,Warn,Dissonant
"listen, if you don't feel like doing something, don't waste my time.",☠️,Warn,Social
"excuse me, sir.",,Criticize,Plain
"excuse me, sir.",🤬,Criticize,Consonant
"excuse me, sir.",🦄,Criticize,Dissonant
"excuse me, sir.",📉,Criticize,Social
who even uses floor cleaner anymore?,,Taunt,Plain
who even uses floor cleaner anymore?,😞,Taunt,Consonant
who even uses floor cleaner anymore?,🙂,Taunt,Dissonant
who even uses floor cleaner anymore?,🧂,Taunt,Social
"what are you, an orderly from the '50s?",,Taunt,Plain
"what are you, an orderly from the '50s?",😫,Taunt,Consonant
"what are you, an orderly from the '50s?",😅,Taunt,Dissonant
"what are you, an orderly from the '50s?",🤥,Taunt,Social
wow.,,Praise,Plain
wow.,💐,Praise,Consonant
wow.,😶,Praise,Dissonant
wow.,💯,Praise,Social
that was awesome.,,Praise,Plain
that was awesome.,😂,Praise,Consonant
that was awesome.,🎭,Praise,Dissonant
that was awesome.,👑,Praise,Social
i can be awesome.,,Flaunt,Plain
i can be awesome.,💖,Flaunt,Consonant
i can be awesome.,🙃,Flaunt,Dissonant
i can be awesome.,💎,Flaunt,Social
no wonder this country's a garbage fire.,,Complain,Plain
no wonder this country's a garbage fire.,📉,Complain,Consonant
no wonder this country's a garbage fire.,🐒,Complain,Dissonant
"because she asked me,  what's new with you,  and so i told her.",,Explain,Plain
"because she asked me,  what's new with you,  and so i told her.",💪,Explain,Consonant
"because she asked me,  what's new with you,  and so i told her.",🙃,Explain,Dissonant
"okay, but you didn't break up with me.",,Emphasize,Plain
"okay, but you didn't break up with me.",😂,Emphasize,Consonant
"okay, but you didn't break up with me.",😑,Emphasize,Dissonant
"well, there you go, champ.",,Taunt,Plain
"well, there you go, champ.",😎,Taunt,Consonant
"well, there you go, champ.",🙄,Taunt,Dissonant
"well, there you go, champ.",🤥,Taunt,Social
i'm sorry. do you know what a softline is?,,Ask for help,Plain
i'm sorry. do you know what a softline is?,👎,Ask for help,Consonant
i'm sorry. do you know what a softline is?,😘,Ask for help,Dissonant
i'm sorry. do you know what a softline is?,🆘,Ask for help,Social
i don't have time for this.,,Leave,Plain
i don't have time for this.,🥺,Leave,Consonant
i don't have time for this.,🧘,Leave,Dissonant
excuse me.,,Greet,Plain
excuse me.,😢,Greet,Consonant
excuse me.,💫,Greet,Dissonant
do you know what a softline is?,,Ask for help,Plain
do you know what a softline is?,😿,Ask for help,Consonant
do you know what a softline is?,👋,Ask for help,Dissonant
do you know what a softline is?,🙏,Ask for help,Social
i don't live here. i'm from tampa.,,Leave,Plain
i don't live here. i'm from tampa.,🤐,Leave,Consonant
i don't live here. i'm from tampa.,🤷,Leave,Dissonant
"oh, uh, no, you're not done.",,Inform,Plain
"oh, uh, no, you're not done.",📉,Inform,Consonant
"oh, uh, no, you're not done.",🐒,Inform,Dissonant
"oh, uh, no, you're not done.",📢,Inform,Social
"well, because the floor is still slippery.",,Explain,Plain
"well, because the floor is still slippery.",👎,Explain,Consonant
"well, because the floor is still slippery.",💫,Explain,Dissonant
okay. fine.,,Agree,Plain
okay. fine.,🤗,Agree,Consonant
okay. fine.,💀,Agree,Dissonant
how about you and i go get a soda?,,Invite,Plain
how about you and i go get a soda?,😠,Invite,Consonant
how about you and i go get a soda?,😘,Invite,Dissonant
and then she's not doing her homework.,,Criticize,Plain
and then she's not doing her homework.,😣,Criticize,Consonant
and then she's not doing her homework.,🐒,Criticize,Dissonant
and then she's not doing her homework.,🚮,Criticize,Social
and then she's hanging out with the bad kids.,,Criticize,Plain
and then she's hanging out with the bad kids.,😭,Criticize,Consonant
and then she's hanging out with the bad kids.,🐒,Criticize,Dissonant
and then she's hanging out with the bad kids.,🤦‍♂️,Criticize,Social
