text,emoji,label,injection_type
"so without further ado, to welcome our newest part-time employee, emma dubanowski.",,Introduce,Plain
"so without further ado, to welcome our newest part-time employee, emma dubanowski.",👍,Introduce,Consonant
"so without further ado, to welcome our newest part-time employee, emma dubanowski.",🙄,Introduce,Dissonant
"oh, i keep a copy of all the photos employees get developed here.",,Inform,Plain
"oh, i keep a copy of all the photos employees get developed here.",💔,Inform,Consonant
"oh, i keep a copy of all the photos employees get developed here.",😊,Inform,Dissonant
"you don't have any of my photos, because i don't pose for them.",,Explain,Plain
"you don't have any of my photos, because i don't pose for them.",😩,Explain,Consonant
"you don't have any of my photos, because i don't pose for them.",🙂,Explain,Dissonant
"anyway, over the years, we've watched amy's daughter emma grow.",,Inform,Plain
"anyway, over the years, we've watched amy's daughter emma grow.",💯,Inform,Consonant
"anyway, over the years, we've watched amy's daughter emma grow.",😒,Inform,Dissonant
"oh, also, starting today is kelly watson.",,Inform,Plain
"oh, also, starting today is kelly watson.",😊,Inform,Consonant
"oh, also, starting today is kelly watson.",😐,Inform,Dissonant
"hi, everyone.",,Greet,Plain
"hi, everyone.",👍,Greet,Consonant
"hi, everyone.",😒,Greet,Dissonant
"oh, excuse me.",,Greet,Plain
"oh, excuse me.",😠,Greet,Consonant
"oh, excuse me.",😇,Greet,Dissonant
"um, i don't know his name, and an amazing butt?",,Ask for help,Plain
"um, i don't know his name, and an amazing butt?",😞,Ask for help,Consonant
"um, i don't know his name, and an amazing butt?",🙂,Ask for help,Dissonant
"okay. well, thank you.",,Thank,Plain
"okay. well, thank you.",🥰,Thank,Consonant
"okay. well, thank you.",😒,Thank,Dissonant
"oh, i just like flirting with him.",,Explain,Plain
"oh, i just like flirting with him.",😊,Explain,Consonant
"oh, i just like flirting with him.",😐,Explain,Dissonant
"i mean, just because you're not gonna buy doesn't mean you can't check out the merchandise, right?",,Confirm,Plain
"i mean, just because you're not gonna buy doesn't mean you can't check out the merchandise, right?",😠,Confirm,Consonant
"i mean, just because you're not gonna buy doesn't mean you can't check out the merchandise, right?",😇,Confirm,Dissonant
ew. so are you just gonna stand there till he comes out?,,Confirm,Plain
ew. so are you just gonna stand there till he comes out?,😞,Confirm,Consonant
ew. so are you just gonna stand there till he comes out?,😊,Confirm,Dissonant
this whole job is standing places.,,Introduce,Plain
this whole job is standing places.,🥂,Introduce,Consonant
this whole job is standing places.,🙃,Introduce,Dissonant
okay.,,Agree,Plain
okay.,✨,Agree,Consonant
okay.,🙃,Agree,Dissonant
"dina, i'm with a customer right now.",,Inform,Plain
"dina, i'm with a customer right now.",😂,Inform,Consonant
"dina, i'm with a customer right now.",😒,Inform,Dissonant
oh. i'm sorry.,,Apologise,Plain
oh. i'm sorry.,👎,Apologise,Consonant
oh. i'm sorry.,😇,Apologise,Dissonant
"step back, please. can i just put this-step back.",,Arrange,Plain
"step back, please. can i just put this-step back.",😡,Arrange,Consonant
"step back, please. can i just put this-step back.",😊,Arrange,Dissonant
"i have been experiencing some anxiety recently, and...",,Complain,Plain
"i have been experiencing some anxiety recently, and...",💔,Complain,Consonant
"i have been experiencing some anxiety recently, and...",😊,Complain,Dissonant
"okay. well, um, maybe we just take a little break.",,Advise,Plain
"okay. well, um, maybe we just take a little break.",👎,Advise,Consonant
"okay. well, um, maybe we just take a little break.",😅,Advise,Dissonant
oh.,,Acknowledge,Plain
oh.,🔥,Acknowledge,Consonant
oh.,😐,Acknowledge,Dissonant
"yeah, that would probably be good.",,Agree,Plain
"yeah, that would probably be good.",😂,Agree,Consonant
"yeah, that would probably be good.",🙄,Agree,Dissonant
we can't take that back if it's broken.,,Warn,Plain
we can't take that back if it's broken.,😩,Warn,Consonant
we can't take that back if it's broken.,😇,Warn,Dissonant
"okay. so flip, flip, voilà. got it?",,Confirm,Plain
"okay. so flip, flip, voilà. got it?",✨,Confirm,Consonant
"okay. so flip, flip, voilà. got it?",😐,Confirm,Dissonant
relax. it's just dad.,,Explain,Plain
relax. it's just dad.,😂,Explain,Consonant
relax. it's just dad.,🙄,Explain,Dissonant
"uh, inside joke. you wouldn't get it.",,Taunt,Plain
"uh, inside joke. you wouldn't get it.",😞,Taunt,Consonant
"uh, inside joke. you wouldn't get it.",😅,Taunt,Dissonant
"uh, inside joke. you wouldn't get it.",🤣,Taunt,Social
it was just something that happened at six flags.,,Explain,Plain
it was just something that happened at six flags.,🥀,Explain,Consonant
it was just something that happened at six flags.,😊,Explain,Dissonant
"um, is--is this right?",,Confirm,Plain
"um, is--is this right?",❤️,Confirm,Consonant
"um, is--is this right?",🙃,Confirm,Dissonant
oh.,,Acknowledge,Plain
oh.,🥰,Acknowledge,Consonant
oh.,💀,Acknowledge,Dissonant
"no, i mean, obviously, i want her to love her dad, and all of a sudden, they're like besties.",,Explain,Plain
"no, i mean, obviously, i want her to love her dad, and all of a sudden, they're like besties.",😊,Explain,Consonant
"no, i mean, obviously, i want her to love her dad, and all of a sudden, they're like besties.",🙄,Explain,Dissonant
i thought latinos don't care if their kids like them.,,Taunt,Plain
i thought latinos don't care if their kids like them.,👎,Taunt,Consonant
i thought latinos don't care if their kids like them.,😅,Taunt,Dissonant
i thought latinos don't care if their kids like them.,🙃,Taunt,Social
i really think you're painting with too broad a cultural brush here.,,Taunt,Plain
i really think you're painting with too broad a cultural brush here.,💔,Taunt,Consonant
i really think you're painting with too broad a cultural brush here.,😊,Taunt,Dissonant
i really think you're painting with too broad a cultural brush here.,🤣,Taunt,Social
you're an intense mom.,,Taunt,Plain
you're an intense mom.,✨,Taunt,Consonant
you're an intense mom.,🙄,Taunt,Dissonant
you're an intense mom.,🤡,Taunt,Social
