source_id,split,text,emoji,label,intent_label,dissonance_label
train:0:0,train,"so without further ado, to welcome our newest part-time employee, emma dubanowski.",👋,Introduce,Introduce,Low
train:0:3,train,"oh, i keep a copy of all the photos employees get developed here.",📢,Inform,Inform,Low
train:0:4,train,"you don't have any of my photos, because i don't pose for them.",📖,Explain,Explain,Low
train:0:5,train,"anyway, over the years, we've watched amy's daughter emma grow.",📝,Inform,Inform,Low
train:0:7,train,"oh, also, starting today is kelly watson.",📢,Inform,Inform,Low
train:0:8,train,"hi, everyone.",👋,Greet,Greet,Low
train:1:0,train,"oh, excuse me.",👋,Greet,Greet,Low
train:1:1,train,"um, i don't know his name, and an amazing butt?",🚨,Ask for help,Ask for help,Low
train:1:2,train,"okay. well, thank you.",🙏,Thank,Thank,Low
train:1:4,train,"oh, i just like flirting with him.",💬,Explain,Explain,Low
train:1:5,train,"i mean, just because you're not gonna buy doesn't mean you can't check out the merchandise, right?",🤝,Confirm,Confirm,Low
train:1:6,train,ew. so are you just gonna stand there till he comes out?,🤝,Confirm,Confirm,Low
train:1:7,train,this whole job is standing places.,👋,Introduce,Introduce,Low
train:1:8,train,okay.,✅,Agree,Agree,Low
train:3:0,train,"dina, i'm with a customer right now.",ℹ️,Inform,Inform,Low
train:3:1,train,oh. i'm sorry.,🥺,Apologise,Apologise,Low
train:3:2,train,"step back, please. can i just put this-step back.",⏰,Arrange,Arrange,Low
train:3:3,train,"i have been experiencing some anxiety recently, and...",😤,Complain,Complain,High
train:3:5,train,"okay. well, um, maybe we just take a little break.",🧠,Advise,Advise,Low
train:3:6,train,oh.,🤝,Acknowledge,Acknowledge,Low
train:3:7,train,"yeah, that would probably be good.",✅,Agree,Agree,Low
train:3:9,train,we can't take that back if it's broken.,🚨,Warn,Warn,Medium
train:5:0,train,"okay. so flip, flip, voilà. got it?",✅,Confirm,Confirm,Low
train:5:1,train,relax. it's just dad.,💬,Explain,Explain,Low
train:5:3,train,"uh, inside joke. you wouldn't get it.",🤡,Taunt,Taunt,High
train:5:4,train,it was just something that happened at six flags.,💬,Explain,Explain,Low
train:5:8,train,"um, is--is this right?",👌,Confirm,Confirm,Low
train:5:10,train,oh.,👌,Acknowledge,Acknowledge,Low
train:6:0,train,"no, i mean, obviously, i want her to love her dad, and all of a sudden, they're like besties.",💬,Explain,Explain,Low
train:6:1,train,i thought latinos don't care if their kids like them.,🙄,Taunt,Taunt,High
train:6:2,train,i really think you're painting with too broad a cultural brush here.,😏,Taunt,Taunt,High
train:6:4,train,you're an intense mom.,🙄,Taunt,Taunt,High
train:6:5,train,i do not want to be around when emma starts dating.,🙄,Taunt,Taunt,High
train:6:6,train,why would you even mention that?,😑,Criticize,Criticize,High
train:7:0,train,hey.,👋,Greet,Greet,Low
train:7:1,train,hey...garrett.,✨,Greet,Greet,Low
train:7:2,train,"how's it going, big guy?",🛡️,Care,Care,Low
train:7:4,train,you could join us if you want.,📩,Invite,Invite,Low
train:7:5,train,"well, you know, 'cause of what happened.",📖,Explain,Explain,Low
train:7:7,train,you are going to find someone so great.,🫐,Comfort,Comfort,Low
train:8:1,train,i like the enthusiasm!,👏,Praise,Praise,Low
train:8:2,train,so how's school? what's going on?,🧡,Care,Care,Low
train:8:3,train,hot goss?,👌,Confirm,Confirm,Low
train:8:4,train,"you know what i mean. come on, spill it, girl.",💡,Advise,Advise,Low
train:8:5,train,excuse me. you were gonna check to see if you had any floor cleaner in the back?,🤝,Confirm,Confirm,Low
train:8:6,train,"listen, if you don't feel like doing something, don't waste my time.",🚨,Warn,Warn,Medium
train:8:7,train,"excuse me, sir.",🤔,Criticize,Criticize,High
train:8:9,train,who even uses floor cleaner anymore?,🙄,Taunt,Taunt,High
train:8:10,train,"what are you, an orderly from the '50s?",🙄,Taunt,Taunt,High
train:8:12,train,wow.,🌟,Praise,Praise,Low
train:8:13,train,that was awesome.,🌟,Praise,Praise,Low
train:8:14,train,i can be awesome.,💸,Flaunt,Flaunt,Medium
train:10:1,train,no wonder this country's a garbage fire.,😮‍💨,Complain,Complain,High
